elexonBmUnit,bmUnitName,leadPartyName,generationCapacity
T_THNTO-1,Thanet Offshore Wind Limited 1,Thanet Offshore Wind Limited,287.699
T_MOWWO-4,Moray West OWF4,Moray Offshore Wind West Ltd,287.0
T_RCBKO-1,RACE_BANK_Z01,Race Bank Wind Farm Ltd,284.0
T_BDCHW-1,Bad a Cheo Wind Farm,RWE Generation UK plc,270.0
T_BRBEO-1,BURBO_EXTENSION,Burbo Extension Limited,257.7
T_KLGLW-1,Kilgallioch Windfarm,SP Renewables (UK) Limited,252.66
T_GRGBW-1,Greater Gabbard Module 1,Greater Gabbard Offshore Winds,240.0
T_GRGBW-2,Greater Gabbard Module 2,Greater Gabbard Offshore Winds,240.0
T_GRGBW-3,Greater Gabbard Module 3,Greater Gabbard Offshore Winds,240.0
T_THNTO-2,Thanet Offshore Wind Limited 2,Thanet Offshore Wind Limited,230.159
T_PNYCW-1,PNYCW-1 Export,Pen y Cymoedd Wind Farm LTD,228.0
T_NNGAO-1,Neart Na Gaiothe WF 1,Neart Na Gaoithe Offshore Wind,224.0
T_NNGAO-2,Neart Na Gaiothe WF 2,Neart Na Gaoithe Offshore Wind,224.0
T_SGRWO-2,Seagreen1 Offshore WF 2,Seagreen Wind Energy Limited,220.0
T_MOWWO-1,Moray West OWF1,Moray Offshore Wind West Ltd,215.0
T_MOWWO-2,Moray West OWF2,Moray Offshore Wind West Ltd,215.0
T_WHILW-2,Whitelee Extension,SP Renewables (UK) Limited,206.0
T_WTMSO-1,WESTERMOST_ROUGH,Westermost Rough Limited,205.0
T_WDNSO-2,West of Duddon Sands Offshore2,Morecambe Wind Limited,201.0
T_RMPNO-1,Rampion Offshore Wind BMU 1,Rampion Offshore Windfarm Ltd,200.1
T_RMPNO-2,Rampion Offshore Wind BMU 2,Rampion Offshore Windfarm Ltd,200.1
T_CLDNW-1,Clyde North,Clyde Windfarm (Scotland) Ltd,200.0
T_CLDCW-1,Clyde Central,Clyde Windfarm (Scotland) Ltd,200.0
T_WDNSO-1,West of Duddon Sands Offshore1,Morecambe Wind Limited,197.0
